               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.028037,            0.019448,                   0,              0.9433,             0.82609,             0.85727,             0.65984,            0.023235,            0.012904,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,             0.02643,            0.022342,                   0,             0.94891,             0.80808,             0.85491,             0.69282,            0.022637,            0.013133,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.023682,            0.018533,                   0,             0.94695,             0.77645,             0.84746,             0.70184,            0.020951,            0.013468,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.026705,            0.018353,                   0,             0.90052,             0.82609,              0.8556,             0.63412,            0.022963,            0.013423,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.024346,            0.020252,                   0,             0.90052,             0.82609,              0.8556,             0.63412,            0.022963,            0.013423,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.024605,             0.02033,                   0,             0.89726,             0.82609,             0.85533,             0.67275,            0.021973,            0.013709,                   0,            0.003268,            0.003268,            0.003268
                 138,             0.02306,            0.021638,                   0,             0.90835,             0.86217,              0.8632,             0.70225,            0.020921,            0.012728,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,              0.0217,            0.018316,                   0,             0.90871,             0.86574,             0.86177,             0.61804,            0.023952,            0.012913,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.028752,            0.019573,                   0,             0.90871,             0.86574,             0.86177,             0.61804,            0.023952,            0.012913,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.025559,            0.017375,                   0,             0.95209,             0.86419,             0.86312,             0.67756,            0.022005,            0.012783,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.024797,            0.021137,                   0,             0.94443,             0.82609,             0.86082,             0.65905,            0.022738,            0.012864,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.027144,            0.021706,                   0,              0.9521,              0.8645,             0.86371,             0.71986,            0.021475,            0.012888,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.022879,            0.023528,                   0,              0.9521,              0.8645,             0.86371,             0.71986,            0.021475,            0.012888,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.021646,            0.017993,                   0,              0.9521,             0.86451,              0.8629,              0.7164,            0.021289,            0.012784,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.022028,            0.019721,                   0,             0.95204,             0.86333,             0.86103,             0.70553,            0.022187,            0.012725,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.023872,            0.022011,                   0,             0.95209,             0.86418,             0.86097,             0.67002,            0.022603,            0.012896,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.025192,            0.022743,                   0,             0.95209,             0.86418,             0.86097,             0.67002,            0.022603,            0.012896,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.021657,            0.016037,                   0,             0.95223,             0.86957,             0.85979,             0.67672,            0.021499,            0.012958,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.021061,            0.020191,                   0,              0.9485,             0.86957,             0.85872,             0.68107,            0.021792,            0.013256,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.029386,            0.019176,                   0,             0.95157,             0.85471,             0.85782,             0.68376,            0.022051,            0.013365,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.024134,            0.021488,                   0,             0.95157,             0.85471,             0.85782,             0.68376,            0.022051,            0.013365,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.020482,             0.01749,                   0,             0.94907,             0.81076,             0.85601,             0.69476,            0.021094,            0.013506,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.021602,            0.017263,                   0,             0.91396,             0.78261,             0.85003,             0.71338,            0.020269,            0.013685,                   0,           0.0024265,           0.0024265,           0.0024265
